Transaction,Project No,Branch,Manager,Type,Cost,Document type
2-May-12,P1031,2020,DMILLWARD,PY,392,TS
6-Jun-12,P1031,2020,DMILLWARD,PY,294,TS
25-Jul-12,P1031,2020,DMILLWARD,PY,1176,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,784,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,294,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,392,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,784,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,294,TS
1-Aug-12,P1031,2020,DMILLWARD,PY,392,TS
26-Dec-12,P1031,2020,DMILLWARD,PY,784,TS
31-Oct-12,P1027,2020,DMILLWARD,IN,-11614,SO
27-Nov-12,P1027,2020,DMILLWARD,CI,68.18,CV
19-Dec-12,P1027,2020,DMILLWARD,PY,294,TS
19-Dec-12,P1027,2020,DMILLWARD,PY,1176,TS
9-May-12,P1027,2020,DMILLWARD,PY,784,TS
23-May-12,P1027,2020,DMILLWARD,PY,784,TS
23-May-12,P1027,2020,DMILLWARD,PY,784,TS
20-Jun-12,P1027,2020,DMILLWARD,PY,392,TS
21-Nov-12,P1027,2020,DMILLWARD,PY,784,TS
21-Nov-12,P1027,2020,DMILLWARD,PY,392,TS
28-Nov-12,P1027,2020,DMILLWARD,PY,392,TS
28-Nov-12,P1027,2020,DMILLWARD,PY,392,TS
5-Dec-12,P1027,2020,DMILLWARD,PY,784,TS
12-Dec-12,P1027,2020,DMILLWARD,PY,784,TS
26-Apr-12,P1027,2020,DMILLWARD,PP,36.32,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-155.96,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-18.7,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-18.55,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-703.92,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-206.8,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-136,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-33,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-5.15,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-3.69,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-3.94,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-17.28,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-16.13,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-652.96,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-351.96,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-64.51,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-83.04,PO
30-Aug-12,P1027,2020,DMILLWARD,PP,-235.07,PO
19-Nov-12,P1027,2020,DMILLWARD,PP,20,PO
19-Nov-12,P1027,2020,DMILLWARD,PP,288,PO
20-Nov-12,P1027,2020,DMILLWARD,PP,1564.66,PO
21-Nov-12,P1027,2020,DMILLWARD,PP,150.28,PO
22-Nov-12,P1027,2020,DMILLWARD,PP,216.84,PO
27-Nov-12,P1027,2020,DMILLWARD,CI,10.69,CV
28-Nov-12,P1027,2020,DMILLWARD,PP,100.1,PO
30-Nov-12,P1027,2020,DMILLWARD,PP,145.79,PO
6-Dec-12,P1027,2020,DMILLWARD,PP,100.13,PO
6-Dec-12,P1027,2020,DMILLWARD,PP,48.23,PO
10-Dec-12,P1027,2020,DMILLWARD,PP,174.07,PO
10-Dec-12,P1027,2020,DMILLWARD,PP,81.99,PO
11-Dec-12,P1027,2020,DMILLWARD,CI,168.34,CV
11-Dec-12,P1027,2020,DMILLWARD,CI,135.45,CV
11-Dec-12,P1027,2020,DMILLWARD,CI,33.05,CV
11-Dec-12,P1027,2020,DMILLWARD,CI,143.03,CV
12-Dec-12,P1027,2020,DMILLWARD,PP,276.79,PO
13-Dec-12,P1027,2020,DMILLWARD,PP,276.79,PO
19-Dec-12,P1027,2020,DMILLWARD,PP,723.15,PO
23-Jan-13,P1027,2020,DMILLWARD,PP,723.15,PO
23-Jan-13,P1027,2020,DMILLWARD,PP,448,PO
23-Jan-13,P1027,2020,DMILLWARD,PP,-723.15,PO
13-Mar-13,P1027,2020,DMILLWARD,CI,15.45,CV
13-Mar-13,P1027,2020,DMILLWARD,CI,1178.38,CV
13-Mar-13,P1027,2020,DMILLWARD,CI,39.89,CV
13-Mar-13,P1027,2020,DMILLWARD,CI,120.96,CV
31-Oct-12,P1027,2020,DMILLWARD,CI,63866.69,PO
25-Mar-12,P1046,2020,DMILLWARD,IN,-22408.5,SO
25-Mar-12,P1046,2020,DMILLWARD,IN,-5400,SO
31-Oct-12,P1046,2020,DMILLWARD,IN,-49298.7,SO
28-Aug-12,P1046,2020,DMILLWARD,CI,21.82,CV
