Transaction,Project No,Branch,Manager,Type,Cost,Document type
20-Nov-12,P1051,6060,FCONDELLO,IN,-1200,SO
5-Dec-12,P1072,6060,JMOLLOY,IN,-5586,SO
7-Mar-12,P1072,6060,JMOLLOY,PY,784,TS
31-Oct-12,P1073,6060,FCONDELLO,IN,-6245,SO
20-Jul-12,P1002,6060,JMOLLOY,IN,-7200,SO
7-Mar-12,P1002,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,330,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,440,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,440,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,165,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,880,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,165,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1002,6060,JMOLLOY,PY,147,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,880,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,147,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,147,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
11-Apr-12,P1002,6060,JMOLLOY,PY,147,TS
18-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
18-Apr-12,P1002,6060,JMOLLOY,PY,784,TS
25-Apr-12,P1002,6060,JMOLLOY,PY,588,TS
2-May-12,P1002,6060,JMOLLOY,PY,196,TS
2-May-12,P1002,6060,JMOLLOY,PY,294,TS
2-May-12,P1002,6060,JMOLLOY,PY,294,TS
9-May-12,P1002,6060,JMOLLOY,PY,294,TS
16-May-12,P1002,6060,JMOLLOY,PY,539,TS
16-May-12,P1002,6060,JMOLLOY,PY,73.5,TS
16-May-12,P1002,6060,JMOLLOY,PY,784,TS
23-May-12,P1002,6060,JMOLLOY,PY,294,TS
