Transaction,Project No,Branch,Manager,Type,Cost,Document type
18-Sep-12,P1329,5050,MDOWLING,IN,-11604.36,SO
15-Oct-12,P1329,5050,MDOWLING,IN,-23208.73,SO
11-Nov-12,P1329,5050,MDOWLING,IN,-20000,SO
15-Jan-13,P1329,5050,MDOWLING,IN,-17522.59,SO
23-Oct-12,P1329,5050,MDOWLING,CI,11.27,CV
23-Oct-12,P1329,5050,MDOWLING,CI,41.82,CV
23-Oct-12,P1329,5050,MDOWLING,CI,23.64,CV
8-Nov-12,P1329,5050,MDOWLING,CI,63.27,CV
18-Dec-12,P1329,5050,MDOWLING,CI,20.68,CV
30-Jan-13,P1329,5050,MDOWLING,CI,31.64,CV
30-Jan-13,P1329,5050,MDOWLING,CI,31.64,CV
12-Sep-12,P1329,5050,MDOWLING,PY,220,TS
12-Sep-12,P1329,5050,MDOWLING,PY,440,TS
12-Sep-12,P1329,5050,MDOWLING,PY,165,TS
19-Sep-12,P1329,5050,MDOWLING,PY,715,TS
19-Sep-12,P1329,5050,MDOWLING,PY,770,TS
19-Sep-12,P1329,5050,MDOWLING,PY,880,TS
19-Sep-12,P1329,5050,MDOWLING,PY,110,TS
19-Sep-12,P1329,5050,MDOWLING,PY,165,TS
19-Dec-12,P1329,5050,MDOWLING,PY,196,TS
19-Dec-12,P1329,5050,MDOWLING,PY,784,TS
19-Dec-12,P1329,5050,MDOWLING,PY,196,TS
19-Dec-12,P1329,5050,MDOWLING,PY,784,TS
19-Dec-12,P1329,5050,MDOWLING,PY,784,TS
19-Dec-12,P1329,5050,MDOWLING,PY,588,TS
19-Dec-12,P1329,5050,MDOWLING,PY,392,TS
20-Feb-13,P1329,5050,MDOWLING,PY,784,TS
20-Feb-13,P1329,5050,MDOWLING,PY,392,TS
20-Feb-13,P1329,5050,MDOWLING,PY,784,TS
20-Feb-13,P1329,5050,MDOWLING,PY,784,TS
20-Feb-13,P1329,5050,MDOWLING,PY,392,TS
20-Feb-13,P1329,5050,MDOWLING,PY,784,TS
26-Sep-12,P1329,5050,MDOWLING,CI,220,CV
26-Sep-12,P1329,5050,MDOWLING,CI,120,CV
26-Sep-12,P1329,5050,MDOWLING,CI,2.2,CV
26-Sep-12,P1329,5050,MDOWLING,CI,27.5,CV
12-Oct-12,P1329,5050,MDOWLING,CI,323.1,CV
12-Oct-12,P1329,5050,MDOWLING,CI,124,CV
12-Oct-12,P1329,5050,MDOWLING,CI,4.47,CV
12-Oct-12,P1329,5050,MDOWLING,CI,55.89,CV
26-Oct-12,P1329,5050,MDOWLING,CI,549.34,CV
