Transaction,Project No,Branch,Manager,Type,Cost,Document type
31-Oct-12,P1027,3030,SDELORENZIS,IN,-63866.69,SO
14-Nov-12,P1027,3030,SDELORENZIS,IN,-63866.69,SO
14-Nov-12,P1027,3030,SDELORENZIS,IN,63866.69,SO
14-Nov-12,P1027,3030,SDELORENZIS,IN,63866.69,SO
14-Nov-12,P1027,3030,SDELORENZIS,IN,-63866.69,SO
31-Oct-12,P1026,3030,SDELORENZIS,IN,-17866.46,SO
8-Feb-12,P1026,3030,SDELORENZIS,PY,784,TS
15-Feb-12,P1026,3030,SDELORENZIS,PY,784,TS
15-Feb-12,P1026,3030,SDELORENZIS,PY,784,TS
21-Mar-12,P1026,3030,SDELORENZIS,PY,784,TS
21-Mar-12,P1026,3030,SDELORENZIS,PY,588,TS
3-Apr-12,P1026,3030,SDELORENZIS,PY,784,TS
25-Apr-12,P1026,3030,SDELORENZIS,PY,784,TS
25-Apr-12,P1026,3030,SDELORENZIS,PY,784,TS
25-Apr-12,P1026,3030,SDELORENZIS,PY,784,TS
25-Apr-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
2-May-12,P1026,3030,SDELORENZIS,PY,784,TS
9-May-12,P1026,3030,SDELORENZIS,PY,784,TS
9-May-12,P1026,3030,SDELORENZIS,PY,784,TS
23-May-12,P1026,3030,SDELORENZIS,PY,784,TS
23-May-12,P1026,3030,SDELORENZIS,PY,784,TS
23-May-12,P1026,3030,SDELORENZIS,PY,784,TS
23-May-12,P1026,3030,SDELORENZIS,PY,784,TS
6-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
6-Jun-12,P1026,3030,SDELORENZIS,PY,686,TS
6-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
6-Jun-12,P1026,3030,SDELORENZIS,PY,686,TS
13-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
13-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
20-Jun-12,P1026,3030,SDELORENZIS,PY,392,TS
27-Jun-12,P1026,3030,SDELORENZIS,PY,784,TS
1-Aug-12,P1026,3030,SDELORENZIS,PY,784,TS
1-Aug-12,P1026,3030,SDELORENZIS,PY,784,TS
19-Sep-12,P1026,3030,SDELORENZIS,PY,784,TS
7-Nov-12,P1026,3030,SDELORENZIS,PY,98,TS
19-Mar-12,P1026,3030,SDELORENZIS,PP,722.24,PO
19-Mar-12,P1026,3030,SDELORENZIS,PP,57.22,PO
30-Mar-12,P1026,3030,SDELORENZIS,CC,-18.88,CV
3-Apr-12,P1026,3030,SDELORENZIS,PP,595.48,PO
3-Apr-12,P1026,3030,SDELORENZIS,PP,35.72,PO
11-Apr-12,P1026,3030,SDELORENZIS,PP,130,PO
2-May-12,P1026,3030,SDELORENZIS,PP,881.81,PO
5-May-12,P1026,3030,SDELORENZIS,PP,385.09,PO
5-May-12,P1026,3030,SDELORENZIS,PP,35,PO
10-May-12,P1026,3030,SDELORENZIS,PP,1352.97,PO
23-May-12,P1026,3030,SDELORENZIS,PP,621.07,PO
23-May-12,P1026,3030,SDELORENZIS,PP,11.01,PO
23-May-12,P1026,3030,SDELORENZIS,CC,-7.6,CV
12-Jun-12,P1026,3030,SDELORENZIS,CI,150,CV
14-Jun-12,P1026,3030,SDELORENZIS,PP,894.4,PO
15-Jun-12,P1026,3030,SDELORENZIS,PP,461.21,PO
15-Jun-12,P1026,3030,SDELORENZIS,PP,515.9,PO
10-Apr-12,P1000,3030,MMCKEON,IN,-18376.32,SO
17-May-12,P1000,3030,MMCKEON,IN,-13210,SO
9-Feb-12,P1000,3030,MMCKEON,CI,11.82,CV
22-Mar-12,P1000,3030,MMCKEON,CI,11,CV
2-May-12,P1000,3030,MMCKEON,PY,784,TS
22-Aug-12,P1000,3030,MMCKEON,PY,784,TS
22-Aug-12,P1000,3030,MMCKEON,PY,784,TS
22-Aug-12,P1000,3030,MMCKEON,PY,392,TS
10-Oct-12,P1000,3030,MMCKEON,PY,392,TS
22-Mar-12,P1000,3030,MMCKEON,CI,61.33,CV
10-May-12,P1000,3030,MMCKEON,PP,157.8,PO
10-May-12,P1000,3030,MMCKEON,PP,25,PO
30-Jun-12,P1050,3030,DKRSTIC,CC,-307.14,CV
20-Feb-12,P1048,3030,ADELORENZIS,IN,-670,SO
20-Nov-12,P1048,3030,ADELORENZIS,IN,-13550,SO
2-Apr-12,P1048,3030,ADELORENZIS,CI,19.09,CV
18-Jun-12,P1048,3030,ADELORENZIS,CI,6.73,CV
28-Aug-12,P1048,3030,ADELORENZIS,CI,9.55,CV
3-Oct-12,P1048,3030,ADELORENZIS,CI,10.18,CV
8-Oct-12,P1048,3030,ADELORENZIS,CI,3.64,CV
25-Jan-12,P1048,3030,ADELORENZIS,PY,196,TS
25-Jan-12,P1048,3030,ADELORENZIS,PY,196,TS
25-Jan-12,P1048,3030,ADELORENZIS,PY,784,TS
1-Feb-12,P1048,3030,ADELORENZIS,PY,392,TS
1-Feb-12,P1048,3030,ADELORENZIS,PY,392,TS
22-Feb-12,P1048,3030,ADELORENZIS,PY,392,TS
22-Feb-12,P1048,3030,ADELORENZIS,PY,392,TS
7-Mar-12,P1048,3030,ADELORENZIS,PY,392,TS
7-Mar-12,P1048,3030,ADELORENZIS,PY,784,TS
7-Mar-12,P1048,3030,ADELORENZIS,PY,784,TS
7-Mar-12,P1048,3030,ADELORENZIS,PY,588,TS
3-Apr-12,P1048,3030,ADELORENZIS,PY,784,TS
25-Apr-12,P1048,3030,ADELORENZIS,PY,392,TS
2-May-12,P1048,3030,ADELORENZIS,PY,392,TS
2-May-12,P1048,3030,ADELORENZIS,PY,392,TS
2-May-12,P1048,3030,ADELORENZIS,PY,784,TS
2-May-12,P1048,3030,ADELORENZIS,PY,784,TS
2-May-12,P1048,3030,ADELORENZIS,PY,784,TS
2-May-12,P1048,3030,ADELORENZIS,PY,784,TS
9-May-12,P1048,3030,ADELORENZIS,PY,784,TS
9-May-12,P1048,3030,ADELORENZIS,PY,784,TS
9-May-12,P1048,3030,ADELORENZIS,PY,784,TS
9-May-12,P1048,3030,ADELORENZIS,PY,784,TS
6-Jun-12,P1048,3030,ADELORENZIS,PY,784,TS
6-Jun-12,P1048,3030,ADELORENZIS,PY,784,TS
13-Jun-12,P1048,3030,ADELORENZIS,PY,588,TS
13-Jun-12,P1048,3030,ADELORENZIS,PY,880,TS
20-Jun-12,P1048,3030,ADELORENZIS,PY,784,TS
20-Jun-12,P1048,3030,ADELORENZIS,PY,784,TS
11-Jul-12,P1048,3030,ADELORENZIS,PY,196,TS
29-Aug-12,P1048,3030,ADELORENZIS,PY,196,TS
25-Jan-12,P1048,3030,ADELORENZIS,PP,42.2,PO
25-Jan-12,P1048,3030,ADELORENZIS,PP,50.2,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,390.3,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,176.2,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,9.8,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,9.8,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,54.18,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,40.6,PO
28-Feb-12,P1048,3030,ADELORENZIS,PP,13.8,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,210.55,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,88.1,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,6.9,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,4.9,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,4.9,PO
1-Mar-12,P1048,3030,ADELORENZIS,PP,20.3,PO
5-Mar-12,P1048,3030,ADELORENZIS,PP,15.19,PO
